category,image_name,fog_path,gt_path,mae,mse,psnr,ssim
artwork,image0500.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0500.jpeg,archive/artwork/image0500.jpeg,0.11009327322244644,0.018328169360756874,17.368809120704817,0.44914448261260986
artwork,image0510.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0510.jpeg,archive/artwork/image0510.jpeg,0.04064955562353134,0.003562173806130886,24.482848419865448,0.7933899760246277
artwork,image0520.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0520.jpeg,archive/artwork/image0520.jpeg,0.03930306062102318,0.003213249845430255,24.930554090925348,0.8528088927268982
artwork,image0530.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0530.jpeg,archive/artwork/image0530.jpeg,0.049541398882865906,0.004684726241976023,23.293158209530898,0.7097592949867249
artwork,image0540.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0540.jpeg,archive/artwork/image0540.jpeg,0.06509777158498764,0.006761420052498579,21.699621587605435,0.642227828502655
artwork,image0550.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0550.jpeg,archive/artwork/image0550.jpeg,0.03128988668322563,0.0024197238963097334,26.162342184541465,0.8500655293464661
artwork,image0560.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0560.jpeg,archive/artwork/image0560.jpeg,0.02698369510471821,0.0016614245250821114,27.79519392269988,0.7787781357765198
artwork,image0570.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0570.jpeg,archive/artwork/image0570.jpeg,0.05519632622599602,0.0049290345050394535,23.07238173241419,0.8789047598838806
artwork,image0580.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0580.jpeg,archive/artwork/image0580.jpeg,0.06140117347240448,0.008180527947843075,20.872186658862844,0.6893625259399414
artwork,image0591.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0591.jpeg,archive/artwork/image0591.jpeg,0.04849764332175255,0.00433298759162426,23.63212560287462,0.8296125531196594
artwork,image0601.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0601.jpeg,archive/artwork/image0601.jpeg,0.07066928595304489,0.006773472297936678,21.691887134517124,0.9190772175788879
artwork,image0611.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0611.jpeg,archive/artwork/image0611.jpeg,0.06618891656398773,0.007044823840260506,21.521298732845903,0.5431355834007263
artwork,image0621.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0621.jpeg,archive/artwork/image0621.jpeg,0.029258521273732185,0.0013832049444317818,28.591133165407705,0.8206073641777039
artwork,image0631.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0631.jpeg,archive/artwork/image0631.jpeg,0.0291250329464674,0.001369238831102848,28.635208258938732,0.8938722610473633
artwork,image0641.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0641.jpeg,archive/artwork/image0641.jpeg,0.052019473165273666,0.004817645996809006,23.171652594284595,0.6385526061058044
artwork,image0651.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0651.jpeg,archive/artwork/image0651.jpeg,0.04952883720397949,0.0041752648539841175,23.79316035020996,0.7563242316246033
artwork,image0661.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0661.jpeg,archive/artwork/image0661.jpeg,0.04263037443161011,0.0028639172669500113,25.430394795265457,0.9176404476165771
artwork,image0671.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0671.jpeg,archive/artwork/image0671.jpeg,0.04074702039361,0.0023281013127416372,26.329980882397898,0.908165693283081
artwork,image0681.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0681.jpeg,archive/artwork/image0681.jpeg,0.04939211532473564,0.003822447033599019,24.176585151912157,0.7743360996246338
artwork,image0691.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0691.jpeg,archive/artwork/image0691.jpeg,0.04529164358973503,0.004338046070188284,23.627057479792953,0.5847579836845398
artwork,image0701.png,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0701.png,archive/artwork/image0701.png,0.05813222751021385,0.008242701180279255,20.839304168013992,0.7994628548622131
artwork,image0711.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0711.jpeg,archive/artwork/image0711.jpeg,0.06461206078529358,0.007572563830763102,21.207570193214465,0.7090325355529785
artwork,image0721.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0721.jpeg,archive/artwork/image0721.jpeg,0.06958632916212082,0.009650515392422676,20.15449403809744,0.6884008049964905
artwork,image0731.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0731.jpeg,archive/artwork/image0731.jpeg,0.06049272045493126,0.006155978422611952,22.1070293902433,0.6820411086082458
artwork,image0741.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0741.jpeg,archive/artwork/image0741.jpeg,0.06509983539581299,0.0071095353923738,21.481588132032098,0.7064533233642578
artwork,image0751.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0751.jpeg,archive/artwork/image0751.jpeg,0.053904350847005844,0.005285563413053751,22.76908808594247,0.7538298964500427
artwork,image0761.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0761.jpeg,archive/artwork/image0761.jpeg,0.04977208003401756,0.006503032520413399,21.868840917983498,0.8283917307853699
artwork,image0771.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0771.jpeg,archive/artwork/image0771.jpeg,0.1525423377752304,0.049395203590393066,13.063152860638525,0.6214413046836853
artwork,image0781.png,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0781.png,archive/artwork/image0781.png,0.06858720630407333,0.008943340741097927,20.485001854670454,0.7760262489318848
artwork,image0791.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0791.jpeg,archive/artwork/image0791.jpeg,0.045090451836586,0.0031798062846064568,24.97599280473864,0.7199220657348633
artwork,image0801.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0801.jpeg,archive/artwork/image0801.jpeg,0.082535520195961,0.009082975797355175,20.417719438318652,0.8943473696708679
artwork,image0811.jpeg,VerticalFilter_MediumFog_Redo_3-21-26_aligned/artwork/image0811.jpeg,archive/artwork/image0811.jpeg,0.040703967213630676,0.0023178739938884974,26.349101266313035,0.9396560192108154
