experiment,condition,metric,estimate,ci95_low,ci95_high,n
classification,Clear targets,accuracy,0.947463768115942,0.927536231884058,0.9655797101449275,552
classification,Clear targets,macro_f1,0.9472258091443937,0.9281390002039844,0.964555051134842,552
classification,Foggy inputs,accuracy,0.9384057971014492,0.9184782608695652,0.9583333333333334,552
classification,Foggy inputs,macro_f1,0.9387976482589329,0.9184042052128246,0.9575155308084827,552
