condition,run_id,samples_total,train_samples,val_samples,test_samples,accuracy,macro_precision,macro_recall,macro_f1,top2_accuracy
Clear targets,20260604_102651_resnet50_pretrained_benchmark_split,5495,4448,495,552,0.947463768115942,0.9470626460234352,0.9474637681159419,0.9472258091443937,0.9909420289855072
Foggy inputs,20260604_103224_resnet50_pretrained_benchmark_split,5495,4448,495,552,0.9384057971014492,0.939575387744724,0.9384057971014492,0.9387976482589329,0.980072463768116
