epoch,train_l1,val_l1,val_psnr_proxy,lr,seconds
1,0.1458421521509687,0.15284268607695897,16.033969952286554,9.996145181203615e-05,77.70208525657654
2,0.10892246950728197,0.12220048060019811,18.093469247989848,9.98458666866564e-05,80.41050672531128
3,0.09429716683613758,0.11306061272819837,18.835333579985647,9.965342284774632e-05,79.8809928894043
4,0.08313352308856944,0.11361187696456909,18.70040339794705,9.938441702975689e-05,78.00911831855774
5,0.07425239658914506,0.10778591558337211,19.321594973148517,9.903926402016153e-05,77.23511862754822
6,0.06882973477865259,0.10885480443636576,19.334451755822872,9.861849601988383e-05,75.09046339988708
7,0.0647883533500135,0.10906268432736396,19.321240363365277,9.812276182268236e-05,76.91020584106445
8,0.0619784743214647,0.10627451613545418,19.51550132558415,9.755282581475769e-05,75.67712163925171
9,0.059870645854001245,0.10550299733877182,19.34766471158717,9.690956679612421e-05,79.00126123428345
10,0.05788154813150565,0.10373013541102409,19.553642251805137,9.619397662556433e-05,78.99503326416016
11,0.056205140349144735,0.10592885961135229,19.49963695015729,9.540715869125406e-05,75.74645614624023
12,0.053588575295483075,0.10690588057041168,19.565046898817908,9.455032620941839e-05,74.65180134773254
13,0.051857150703047715,0.10214120770494144,19.665109019897436,9.362480035363986e-05,76.63271975517273
14,0.05042543744978805,0.10471330980459849,19.591658283099594,9.263200821770461e-05,76.05957865715027
15,0.049641328118741515,0.10395514766375223,19.72481643619548,9.157348061512727e-05,75.259690284729
16,0.049149043749397,0.10238676145672798,19.715071544557418,9.045084971874738e-05,74.19630122184753
17,0.048305646229224904,0.10537029529611269,19.615783221499115,8.926584654403724e-05,75.46823620796204
18,0.046371410298161206,0.10399043709039688,19.686491460047442,8.802029828000156e-05,77.35329246520996
19,0.045566443058972554,0.10388701856136322,19.734323064241558,8.671612547178429e-05,75.42752265930176
20,0.04551310606766492,0.10552817235390345,19.597021746923378,8.535533905932738e-05,77.78063654899597
21,0.04503662325441837,0.10582840517163276,19.557870261665606,8.39400372766471e-05,76.00388145446777
22,0.04445327274346103,0.10475718776384989,19.707027207836916,8.247240241650919e-05,77.86334347724915
23,0.04457889956732591,0.10459404364228249,19.68560140373697,8.095469746549169e-05,78.40955400466919
24,0.043850221174458665,0.09080670351783435,20.08796059083735,7.938926261462365e-05,77.46731972694397
25,0.09329218131800493,0.09846103911598524,19.637013581639188,7.77785116509801e-05,77.11629819869995
26,0.07045799515520533,0.09035595407088598,20.00931277844703,7.612492823579744e-05,77.62408304214478
27,0.06199343615832428,0.08951754743854205,20.2529036277262,7.443106207484775e-05,74.87213468551636
28,0.05512601992425819,0.08902460187673569,20.15768394382051,7.269952498697733e-05,77.94881629943848
29,0.0508539398588861,0.09089451481898626,20.08651808713665,7.093298687687139e-05,78.62433862686157
30,0.04894176533756157,0.08904378538330396,20.33042021866551,6.913417161825447e-05,79.05158424377441
31,0.04728488517769923,0.08959893981615702,20.218366337322138,6.730585285387463e-05,75.95330929756165
32,0.04648557933202634,0.08898871714870135,20.363584631448322,6.545084971874736e-05,76.13188529014587
33,0.04541323572242011,0.08927182207504908,20.256277905969792,6.35720224932537e-05,78.48297548294067
34,0.04471508550923318,0.08726906577746073,20.40456212593898,6.167226819279526e-05,78.43080830574036
35,0.04348757901073744,0.08929452920953433,20.300022634371015,5.97545161008064e-05,75.36060571670532
36,0.042632315680384635,0.08718523805340131,20.450779263192583,5.782172325201153e-05,75.69493627548218
37,0.04178306298175206,0.08687994206945102,20.424606979181807,5.587686987289187e-05,77.66796660423279
38,0.041582270672855276,0.08836935684084893,20.37898646125984,5.392295478639223e-05,77.81832337379456
39,0.040871278087918954,0.08647859320044518,20.49510107880042,5.196299078795341e-05,76.72496032714844
40,0.04060323361773044,0.08817339340845744,20.353840543231808,4.999999999999998e-05,77.2962098121643
41,0.0404658866347745,0.0889813132584095,20.3783908861789,4.8037009212046566e-05,76.28095579147339
42,0.039893870955953994,0.08843898375829061,20.32345466165601,4.6077045213607746e-05,78.2783453464508
43,0.039162047874803346,0.08836405674616496,20.391563651266605,4.4123130127108115e-05,76.57315564155579
44,0.03891112223112335,0.08727871179580689,20.441279767285327,4.217827674798846e-05,76.17838454246521
45,0.038666975172236565,0.08770766953627268,20.446872356732083,4.024548389919358e-05,75.85191869735718
46,0.0380560875715067,0.08801563655336699,20.410723390800463,3.832773180720473e-05,74.9640383720398
47,0.037819838516103724,0.08715577870607376,20.45688562551068,3.642797750674627e-05,76.52286982536316
48,0.03752062350977212,0.0888675349454085,20.339255911665536,3.454915028125263e-05,74.88172602653503
49,0.037151919693375626,0.08795509015520414,20.416184503912987,3.269414714612536e-05,78.66576313972473
50,0.03693744959309697,0.08912216226259867,20.350876755724997,3.086582838174551e-05,75.57009077072144
51,0.036711562409376106,0.08808962280551592,20.42232418661367,2.9067013123128613e-05,76.67184162139893
52,0.036445341515354814,0.08747997706135115,20.464787195891372,2.7300475013022666e-05,76.04446649551392
53,0.03623015459937354,0.08740841895341873,20.430633796635004,2.556893792515225e-05,74.6268994808197
54,0.03607648730588456,0.08892542670170465,20.36933356798825,2.3875071764202563e-05,79.75921773910522
55,0.03589970041066408,0.08736947154005369,20.471872257013803,2.222148834901989e-05,78.35153889656067
56,0.035645991734539466,0.08736371994018555,20.466109137098993,2.0610737385376352e-05,75.64266037940979
57,0.035428109928034246,0.08837778468926748,20.4163350452186,1.9045302534508318e-05,76.25409936904907
