epoch,train_l1,val_l1,val_psnr_proxy,lr,seconds
1.0,0.16240109473466874,0.08104610815644264,20.179828732677016,5.997687108722169e-05,26.95583438873291
2.0,0.07857084088027477,0.07187627768144011,21.81676267579783,5.990752001199384e-05,24.84397840499878
3.0,0.06424143757671118,0.06581215234473348,22.269197039505755,5.979205370864779e-05,25.606194257736206
4.0,0.05692375380545855,0.056744737550616264,23.551316245371222,5.963065021785413e-05,25.477407932281494
5.0,0.0504166105017066,0.05918566323816776,23.54366850699853,5.9423558412096914e-05,25.950892448425293
6.0,0.046172723937779665,0.056967952754348516,23.502381482276057,5.91710976119303e-05,27.005303144454956
7.0,0.042082097847014666,0.05712172854691744,23.794500250015655,5.887365709360942e-05,25.362993717193604
8.0,0.040440278090536595,0.05473332991823554,23.917838073021993,5.853169548885462e-05,25.56044840812683
9.0,0.03792971966788173,0.0577695241663605,24.192254722608862,5.814574007767453e-05,24.917691230773926
10.0,0.0365526263602078,0.051262037828564644,24.63351829717011,5.7716385975338605e-05,25.481058597564697
11.0,0.03545229064300656,0.054363422095775604,24.122763289133744,5.724429521475244e-05,27.29613184928894
12.0,0.034385337326675654,0.05377698177471757,24.14203034462658,5.673019572565103e-05,26.665420532226562
13.0,0.0330517684109509,0.0523621984757483,24.455001634691577,5.617488021218392e-05,26.92512011528015
14.0,0.03243566824123263,0.05317425052635372,24.567697827516017,5.557920493062277e-05,26.929752111434937
15.0,0.030949962483718993,0.05103974626399577,24.82472361708154,5.494408836907637e-05,25.865183353424072
16.0,0.030372600089758634,0.052847735583782196,24.37127429905272,5.4270509831248434e-05,25.89535355567932
17.0,0.028831665022298694,0.05192808900028467,24.74372675445214,5.355950792642236e-05,25.575815677642822
18.0,0.02899283016100526,0.05320423748344183,24.473446568597264,5.281217896800094e-05,25.568310499191284
19.0,0.028887240495532752,0.052685124799609184,24.45797672174145,5.202967528307058e-05,26.73638916015625
20.0,0.02734839651733637,0.05370689881965518,24.411710553258636,5.121320343559643e-05,26.28155493736267
21.0,0.027368997167795898,0.05299467546865344,24.657917156139305,5.036402236598826e-05,25.95023798942566
22.0,0.0263398277759552,0.05353913316503167,24.33155539839024,4.948344144990552e-05,25.643316745758057
23.0,0.02632125576026738,0.05250688618980348,24.52142710698677,4.857281847929502e-05,26.852569580078125
24.0,0.026465416699647904,0.053640369325876236,24.416475564437306,4.76335575687742e-05,26.406237363815308
25.0,0.02529793955385685,0.05203444743528962,24.574354137504006,4.666710699058807e-05,26.85379672050476
26.0,0.024651406854391097,0.05243904748931527,24.63747538051001,4.567495694147847e-05,26.633574962615967
27.0,0.02421641963534057,0.05216240999288857,24.786398762187005,4.465863724490866e-05,26.09956121444702
28.0,0.0239821857213974,0.052107999101281166,24.9632917517615,4.361971499218641e-05,26.247283935546875
29.0,0.02343712154775858,0.051854242803528905,24.837428787518704,4.255979212612285e-05,25.812721014022827
